event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-30 14:57:53 UTC,2298802829810205581,2273948237410861690,2268105440917193414,appliances.kitchen.mixer,philips,71.74,1515915625452793610
2020-04-30 15:02:32 UTC,2298805171045531757,1515966223509629819,2268105407664751600,computers.notebook,powerplant,21.74,1515915625448117118
2020-04-30 15:05:11 UTC,2298806502049186025,1515966223509127692,2268105430162997728,electronics.audio.headphone,sony,9.24,1515915625444994005
2020-04-30 15:05:46 UTC,2298806797093306631,1515966223509088506,2268105430162997728,electronics.audio.headphone,bloody,23.13,1515915625452730547
2020-04-30 15:10:12 UTC,2298809024319062501,1515966223509089841,2268105402556089218,appliances.personal.hair_cutter,philips,64.79,1515915625442694237
2020-04-30 15:10:21 UTC,2298809100638618100,1515966223509302817,2268105404393194406,appliances.personal.massager,gezatone,57.85,1515915625441889290
2020-04-30 15:10:21 UTC,2298809100638618100,1515966223509298248,2268105444734010134,furniture.living_room.shelving,inhouse,8.08,1515915625441889290
2020-04-30 15:10:21 UTC,2298809100638618100,1515966223509089462,2268105444734010134,furniture.living_room.shelving,tefal,12.94,1515915625441889290
2020-04-30 15:11:25 UTC,2298809637626970651,1515966223509107961,2268105427260539298,,ava,1.13,1515915625452789911
2020-04-30 15:14:41 UTC,2298811280653288110,2273948219752841760,2268105402774193030,,vitek,23.13,1515915625452801179
2020-04-30 15:20:43 UTC,2298814318159856576,1515966223509123352,2268105447879738202,furniture.living_room.chair,dxracer,276.60,1515915625441552199
2020-04-30 15:22:31 UTC,2298815228634202131,1515966223510174738,2268105446034244402,,filtero,4.61,1515915625442534610
2020-04-30 15:22:31 UTC,2298815228634202131,1515966223509128830,2268105446034244402,,filtero,4.61,1515915625442534610
2020-04-30 15:26:42 UTC,2298817327304540373,2273948221195681885,2268105402447037312,appliances.personal.scales,imetec,38.17,1515915625451592674
2020-04-30 15:27:21 UTC,2298817660583936245,2273948235515036291,2268105405106226100,computers.desktop,philips,20.81,1515915625452802465
